id	prompt	answer	rule	lesson	tags
g0001	Where are you from?	Որտեղի՞ց ես։	ablative	1	ablative,question
g0002	Վրաստան → I am from Georgia	Ես Վրաստանից եմ։	ablative	1	ablative,countries
g0003	Ձ ձ → sound	dz	alphabet	1	alphabet,letters
g0004	Ճ ճ → sound	ch (plosive)	alphabet	1	alphabet,letters
g0005	Զ զ → sound	z	alphabet	1	alphabet,letters
g0006	Ղ ղ → sound	gh (like the French r)	alphabet	1	alphabet,letters
g0007	Ո ո → sound	vo	alphabet	1	alphabet,letters
g0008	Եվ և → reads as	yev	alphabet	1	alphabet,letters
g0009	բարձր → pronunciation	բարցր	alphabet	1	alphabet,pronunciation
g0010	զուգարան → pronunciation	զուքարան	alphabet	1	alphabet,pronunciation
g0011	սրճարան → hidden ը	սըր-ճարան	alphabet	1	alphabet,pronunciation
g0012	and / but (contrast, 'and what about')	իսկ	conjunctions	1	conjunction
g0013	but	բայց	conjunctions	1	conjunction
g0014	And what is your name?	Իսկ ի՞նչ է քո անունը։	conjunctions	1	conjunction,question
g0015	you (pl.) — Բարև ___	ձեզ	dative	1	dative,pronoun
g0016	See you! (we will meet)	Կհանդիպենք։	future-k	1	future,phrase
g0017	զանգել → I will call in the evening	Երեկոյան կզանգեմ։	future-k	1	future
g0018	սրճարան → in the cafe	սրճարանում	locative	1	locative,city
g0019	Where are you from? — I am from Georgia.	Որտեղի՞ց ես։ — Ես Վրաստանից եմ։	nationality-suffixes	1	countries,ablative
g0020	Նա ուրախ ___ (she is not glad)	չէ / չի	negation	1	negation
g0021	no (formal)	ոչ	negation	1	negation
g0022	no (informal)	չէ	negation	1	negation
g0023	I am (ես ___)	եմ	to-be	1	to-be
g0024	you are (դու ___)	ես	to-be	1	to-be
g0025	he/she is (նա ___)	է	to-be	1	to-be
g0026	we are (մենք ___)	ենք	to-be	1	to-be
g0027	you (pl.) are (դուք ___)	եք	to-be	1	to-be
g0028	they are (նրանք ___)	են	to-be	1	to-be
g0029	I am not (ես ___)	չեմ	to-be	1	to-be,negation
g0030	you are not (դու ___)	չես	to-be	1	to-be,negation
g0031	he/she is not (նա ___)	չէ / չի	to-be	1	to-be,negation
g0032	we are not (մենք ___)	չենք	to-be	1	to-be,negation
g0033	you (pl.) are not (դուք ___)	չեք	to-be	1	to-be,negation
g0034	they are not (նրանք ___)	չեն	to-be	1	to-be,negation
g0035	I am glad	Ես ուրախ եմ	to-be	1	to-be
g0036	We are not glad	Մենք ուրախ չենք	to-be	1	to-be,negation
g0037	I am hungry	Սոված եմ	to-be	1	to-be
g0038	I am full	Կուշտ եմ	to-be	1	to-be
g0039	I am tired	Հոգնած եմ	to-be	1	to-be
g0040	yes (formal / informal)	այո / հա	to-be	1	to-be
g0041	no (formal / informal)	ոչ / չէ	to-be	1	to-be,negation
g0042	Գ գ → sound	g	alphabet	2	alphabet,letters
g0043	Ծ ծ → sound	ts (plosive)	alphabet	2	alphabet,letters
g0044	Ֆ ֆ → sound	f	alphabet	2	alphabet,letters
g0045	հոգնած → pronunciation	հոքնած	alphabet	2	alphabet,pronunciation
g0046	and (everyday, joins words and clauses)	ու	conjunctions	2	conjunction
g0047	Do you like to play football or tennis?	Դու սիրում ես ֆուտբո՞լ խաղալ, թե՞ թենիս։	conjunctions	2	conjunction,question
g0048	He is going to the library, and you?	Նա գնում է գրադարան, իսկ դո՞ւ։	conjunctions	2	conjunction
g0049	Ֆրանսիա → in France	Ֆրանսիայում	locative	2	locative,countries
g0050	Հայաստան → language	հայերեն	nationality-suffixes	2	languages
g0051	Ռուսաստան → language	ռուսերեն	nationality-suffixes	2	languages
g0052	German (language)	գերմաներեն	nationality-suffixes	2	languages
g0053	Italian (language)	իտալերեն	nationality-suffixes	2	languages
g0054	English (language)	անգլերեն	nationality-suffixes	2	languages
g0055	I don't have	չունեմ	negation	2	negation
g0056	I don't know	չգիտեմ	negation	2	negation
g0057	ունենալ → I have	Ես ունեմ	to-have-and-to-know	2	have
g0058	ունենալ → you (sg.) have	Դու ունես	to-have-and-to-know	2	have
g0059	ունենալ → he/she has	Նա ունի	to-have-and-to-know	2	have
g0060	ունենալ → we have	Մենք ունենք	to-have-and-to-know	2	have
g0061	ունենալ → you (pl.) have	Դուք ունեք	to-have-and-to-know	2	have
g0062	ունենալ → they have	Նրանք ունեն	to-have-and-to-know	2	have
g0063	ունենալ → I don't have	Ես չունեմ	to-have-and-to-know	2	have,negation
g0064	ունենալ → he/she doesn't have	Նա չունի	to-have-and-to-know	2	have,negation
g0065	գիտենալ → I know	Ես գիտեմ	to-have-and-to-know	2	know
g0066	գիտենալ → you (sg.) know	Դու գիտես	to-have-and-to-know	2	know
g0067	գիտենալ → he/she knows	Նա գիտի	to-have-and-to-know	2	know
g0068	գիտենալ → we know	Մենք գիտենք	to-have-and-to-know	2	know
g0069	գիտենալ → they know	Նրանք գիտեն	to-have-and-to-know	2	know
g0070	գիտենալ → I don't know	Ես չգիտեմ	to-have-and-to-know	2	know,negation
g0071	գիտենալ → he/she doesn't know	Նա չգիտի	to-have-and-to-know	2	know,negation
g0072	Do you know my name?	Գիտե՞ս իմ անունը։	to-have-and-to-know	2	know,question
g0073	Are you coming home?	Դու գալի՞ս ես տուն։	word-order	2	word-order,question
g0074	Ե ե → sound	ye	alphabet	3	alphabet,letters
g0075	Խ խ → sound	kh	alphabet	3	alphabet,letters
g0076	Հ հ → sound	h	alphabet	3	alphabet,letters
g0077	եղբայր → pronunciation	եղպայր	alphabet	3	alphabet,pronunciation
g0078	գլխարկ → hidden ը	գըլ-խարկ	alphabet	3	alphabet,pronunciation
g0079	իմ ընտանիք → definite	իմ ընտանիքը	definite-article	3	article
g0080	քո քույր → definite	քո քույրը	definite-article	3	article
g0081	մեր որդի → definite	մեր որդին	definite-article	3	article
g0082	Սա իմ մատիտ__ է (This is my pencil)	ն	definite-article	3	article
g0083	Կարեն__ ու Աննա__ (Karen and Anna)	Կարենն ու Աննան	definite-article	3	article
g0084	հեռախոս → on the phone	հեռախոսով	instrumental	3	instrumental
g0085	նկար → in the picture	նկարում	locative	3	locative
g0086	Don't play, it is very dark now.	Մի՛ խաղա, հիմա շատ մութ է։	negation	3	negation,imperative
g0087	ընկեր → plural	ընկերներ	plural	3	plural
g0088	my	իմ	possessive-pronouns	3	possessive
g0089	your (one person)	քո	possessive-pronouns	3	possessive
g0090	his / her / its	նրա / իր	possessive-pronouns	3	possessive
g0091	our	մեր	possessive-pronouns	3	possessive
g0092	your (several / polite)	ձեր	possessive-pronouns	3	possessive
g0093	their	նրանց / իրենց	possessive-pronouns	3	possessive
g0094	my name	իմ անունը	possessive-pronouns	3	possessive,article
g0095	his surname	նրա ազգանունը	possessive-pronouns	3	possessive,article
g0096	my family	իմ ընտանիքը	possessive-pronouns	3	possessive,article
g0097	your sister	քո քույրը	possessive-pronouns	3	possessive,article
g0098	his/her friend	նրա / իր ընկերը	possessive-pronouns	3	possessive,article
g0099	our son	մեր որդին	possessive-pronouns	3	possessive,article
g0100	your (pl.) grandmother	ձեր տատիկը	possessive-pronouns	3	possessive,article
g0101	their brother	նրանց / իրենց եղբայրը	possessive-pronouns	3	possessive,article
g0102	Are you Armenian? — No, I am Indian.	Դու հա՞յ ես։ — Չէ, ես հնդիկ եմ։	to-be	3	to-be,question
g0103	I have two friends.	Ես ունեմ երկու ընկեր։	to-have-and-to-know	3	have
g0104	You talk on the phone very long.	Դու շատ երկար ես խոսում հեռախոսով։	word-order	3	word-order
g0105	Դ դ → sound	d	alphabet	4	alphabet,letters
g0106	Բ բ → sound	b	alphabet	4	alphabet,letters
g0107	մարդ → pronunciation	մարթ	alphabet	4	alphabet,pronunciation
g0108	կարդալ → pronunciation	կարթալ	alphabet	4	alphabet,pronunciation
g0109	դարակ → on the shelf	դարակում	locative	4	locative,home
g0110	կարդալ → I am reading	Ես կարդում եմ	present-tense	4	present
g0111	There are red pencils on the shelf.	Դարակում կարմիր մատիտներ կան։	there-is	4	there-is
g0112	Ն ն → sound	n	alphabet	5	alphabet,letters
g0113	Մ մ → sound	m	alphabet	5	alphabet,letters
g0114	երբեք → pronunciation	երփեք	alphabet	5	alphabet,pronunciation
g0115	Իրան → in Iran	Իրանում	locative	5	locative,countries
g0116	հյուրասենյակ → in the living room	հյուրասենյակում	locative	5	locative,home
g0117	Ես ___ գնում (I am not going)	չեմ	negation	5	negation
g0118	Նա ___ խոսում (he does not speak)	չի	negation	5	negation
g0119	there is not	չկա	negation	5	negation
g0120	never	երբեք	negation	5	negation
g0121	He never speaks Armenian.	Նա երբեք չի խոսում հայերեն։	negation	5	negation
g0122	անել → I do / I am doing	Ես անում եմ	present-tense	5	present
g0123	անել → you (sg.) do	Դու անում ես	present-tense	5	present
g0124	անել → he/she does	Նա անում է	present-tense	5	present
g0125	անել → we do	Մենք անում ենք	present-tense	5	present
g0126	անել → you (pl.) do	Դուք անում եք	present-tense	5	present
g0127	անել → they do	Նրանք անում են	present-tense	5	present
g0128	անել → I don't do	Ես չեմ անում	present-tense	5	present,negation
g0129	անել → he/she doesn't do	Նա չի անում	present-tense	5	present,negation
g0130	անել → they don't do	Նրանք չեն անում	present-tense	5	present,negation
g0131	What are you doing?	Ի՞նչ ես անում։	present-tense	5	present,question
g0132	խոսել → We always speak Armenian.	Մենք միշտ խոսում ենք հայերեն։	present-tense	5	present,adverb
g0133	խոսել → He never speaks Armenian.	Նա երբեք չի խոսում հայերեն։	present-tense	5	present,adverb,negation
g0134	always	միշտ	present-tense	5	adverb
g0135	usually	սովորաբար	present-tense	5	adverb
g0136	often	հաճախ	present-tense	5	adverb
g0137	never	երբեք	present-tense	5	adverb
g0138	sometimes	երբեմն / մեկ-մեկ	present-tense	5	adverb
g0139	there is	կա	there-is	5	there-is
g0140	there are	կան	there-is	5	there-is
g0141	There are many guests in my living room.	Կան շատ հյուրեր իմ հյուրասենյակում։	there-is	5	there-is
g0142	What are you doing?	Ի՞նչ ես անում։	word-order	5	word-order,question
g0143	I speak Armenian.	Ես խոսում եմ հայերեն։	word-order	5	word-order
g0144	We always speak Armenian.	Մենք միշտ խոսում ենք հայերեն։	word-order	5	word-order
g0145	They usually don't speak Armenian.	Նրանք սովորաբար չեն խոսում հայերեն։	word-order	5	word-order,negation
g0146	Յ յ → sound	y	alphabet	6	alphabet,letters
g0147	because	որովհետև	conjunctions	6	conjunction
g0148	Ես տան__ եմ (I am at home)	ն	definite-article	6	article
g0149	տուն → at home	տանը	locative	6	locative,irregular
g0150	I am at home.	Ես տանն եմ։	locative	6	locative,irregular
g0151	Հայաստան → nationality	հայ	nationality-suffixes	6	countries
g0152	Հայաստան → adjective	հայկական	nationality-suffixes	6	countries
g0153	Հունաստան → nationality	հույն	nationality-suffixes	6	countries
g0154	Հունաստան → language	հունարեն	nationality-suffixes	6	languages
g0155	Հունաստան → adjective	հունական	nationality-suffixes	6	countries
g0156	գալ → I am coming	Ես գալիս եմ	present-tense	6	present,irregular
g0157	գալ → he/she is coming	Նա գալիս է	present-tense	6	present,irregular
g0158	գալ → I am not coming	Ես չեմ գալիս	present-tense	6	present,irregular,negation
g0159	լալ → I am crying	Ես լալիս եմ	present-tense	6	present,irregular
g0160	տալ → I am giving	Ես տալիս եմ	present-tense	6	present,irregular
g0161	who? (one person)	ո՞վ	question-words	6	question
g0162	who? (several)	ովքե՞ր	question-words	6	question
g0163	what? (one)	ի՞նչ	question-words	6	question
g0164	what? (several)	ինչե՞ր	question-words	6	question
