prompt	answer	rule	lesson	tags
and / but (contrast, 'and what about')	իսկ	conjunctions	1	conjunction
but	բայց	conjunctions	1	conjunction
and (everyday, joins words and clauses)	ու	conjunctions	2	conjunction
and (also written form; 'etc.' = ___ այլն)	և	conjunctions	39	conjunction
that (Լավ ա, ___ լավանում ես)	որ	conjunctions	14	conjunction
because	որովհետև	conjunctions	6	conjunction
if	եթե	conjunctions	24	conjunction
or (in questions)	թե՞	conjunctions	14	conjunction,question
or (in statements)	կամ	conjunctions	7	conjunction
so, that means	ուրեմն	conjunctions	22	conjunction
that's why (поэтому)	դրա համար	conjunctions	20	conjunction,phrase
then, after	հետո	conjunctions	20	conjunction
too, also / (any) more (particle)	էլ	conjunctions	38	particle
not … (but)	ոչ թե	conjunctions	17	particle,negation
And what is your name?	Իսկ ի՞նչ է քո անունը։	conjunctions	1	conjunction,question
Do you like to play football or tennis?	Դու սիրում ես ֆուտբո՞լ խաղալ, թե՞ թենիս։	conjunctions	2	conjunction,question
He is going to the library, and you?	Նա գնում է գրադարան, իսկ դո՞ւ։	conjunctions	2	conjunction
