prompt	answer	rule	lesson	tags
Աննա → to Anna	Աննային	dative	26	dative
գործընկերներ → (call) my colleagues	գործընկերներին	dative	35	dative,plural
ընկերներ → (meet) my friends	ընկերներին	dative	14	dative,plural
ամպեր → (look at) the clouds	ամպերին	dative	19	dative,plural
ժամը մեկ → at one o'clock	ժամը մեկին	dative	22	dative,time
հունվարի ութ → on the 8th of January	հունվարի ութին	dative	9	dative,dates
սեպտեմբեր → in September	սեպտեմբերին	dative	37	dative,time
կեսօր → at noon	կեսօրին	dative	16	dative,time
նախաճաշ → for breakfast	նախաճաշին	dative	20	dative,food
աշխատանք → to work (where to?)	աշխատանքի	dative	15	dative
դաս → to class	դասի	dative	15	dative
հանդիպում → to a meeting	հանդիպման	dative	15	dative
համերգ → to a concert (գնալ)	համերգի	dative	34	dative
me (Believe ___ !)	ինձ	dative	9	dative,pronoun
you (sg.) — I will give ___ the book	քեզ	dative	15	dative,pronoun
us — drink with ___	մեզ	dative	29	dative,pronoun
you (pl.) — Բարև ___	ձեզ	dative	1	dative,pronoun
him / her — give ___ the money	նրան	dative	26	dative,pronoun
