prompt	answer	rule	lesson	tags
this (as a noun)	սա	demonstratives	16	demonstrative
that, it (as a noun)	դա	demonstratives	16	demonstrative
that one over there (as a noun)	նա	demonstratives	16	demonstrative
these	սրանք	demonstratives	16	demonstrative
those	դրանք	demonstratives	16	demonstrative
those over there	նրանք	demonstratives	16	demonstrative
this + noun	այս … ը/ն	demonstratives	16	demonstrative
that + noun	այդ … ը/ն	demonstratives	16	demonstrative
that (over there) + noun	այն … ը/ն	demonstratives	16	demonstrative
this book	այս գիրքը	demonstratives	16	demonstrative,article
these books	այս գրքերը	demonstratives	16	demonstrative,article
What is this? — This is a book.	Ի՞նչ է սա։ — Սա գիրք է։	demonstratives	16	demonstrative,question
What are these? — These are photographs.	Ինչե՞ր են սրանք։ — Սրանք լուսանկարներ են։	demonstratives	16	demonstrative,question
here (spoken?)	այստեղ (spoken ստեղ)	demonstratives	17	demonstrative,adverb
there (spoken?)	այդտեղ (spoken ըտեղ)	demonstratives	17	demonstrative,adverb
over there (spoken?)	այնտեղ (spoken ընդեղ)	demonstratives	17	demonstrative,adverb
in this way (spoken?)	այսպես (spoken սենց)	demonstratives	17	demonstrative,adverb
in that way (spoken?)	այդպես (spoken տենց)	demonstratives	17	demonstrative,adverb
this much (spoken?)	այսքան (spoken էսքան)	demonstratives	17	demonstrative,adverb
that much (spoken?)	այդքան (spoken էդքան)	demonstratives	17	demonstrative,adverb
such, this kind of	այսպիսի	demonstratives	17	demonstrative
such (that kind, far)	այնպիսի	demonstratives	17	demonstrative
