prompt	answer	rule	lesson	tags
Ես ___ գնում (I am not going)	չեմ	negation	5	negation
Նա ___ խոսում (he does not speak)	չի	negation	5	negation
Նա ուրախ ___ (she is not glad)	չէ / չի	negation	1	negation
I don't have	չունեմ	negation	2	negation
I don't know	չգիտեմ	negation	2	negation
I can't	չեմ կարող	negation	9	negation
there is not	չկա	negation	5	negation
I was not	չէի	negation	18	negation
I won't eat	չեմ ուտի	negation	28	negation,future
I am not going to read	չեմ կարդալու	negation	28	negation,future
I don't have to go	չպիտի գնամ / պիտի չգնամ	negation	33	negation
no (formal)	ոչ	negation	1	negation
no (informal)	չէ	negation	1	negation
never	երբեք	negation	5	negation
nothing	ոչինչ / ոչ մի բան	negation	19	negation
nowhere	ոչ մի տեղ	negation	41	negation
nobody	ոչ ոք	negation	41	negation
Don't read! (one person)	Մի՛ կարդա	negation	23	negation,imperative
Don't write! (several people)	Մի՛ գրեք	negation	23	negation,imperative
Don't play, it is very dark now.	Մի՛ խաղա, հիմա շատ մութ է։	negation	3	negation,imperative
He never speaks Armenian.	Նա երբեք չի խոսում հայերեն։	negation	5	negation
I was doing nothing.	Ես ոչինչ չէի անում։	negation	19	negation
