prompt	answer	rule	lesson	tags
ծառ → plural	ծառեր	plural	14	plural
ծաղիկ → plural	ծաղիկներ	plural	14	plural
նկար → plural	նկարներ	plural	14	plural
հրաշք → plural	հրաշքներ	plural	14	plural
սիրտ → plural	սրտեր	plural	14	plural,vowel-drop
միրգ → plural	մրգեր	plural	14	plural,vowel-drop
տուն → plural	տներ	plural	14	plural,vowel-drop
շուն → plural	շներ	plural	14	plural,vowel-drop
երկիր → plural	երկրներ	plural	14	plural,vowel-drop
դասագիրք → plural	դասագրքեր	plural	14	plural,compound
գիրք → plural	գրքեր	plural	16	plural,vowel-drop
ընկեր → plural	ընկերներ	plural	3	plural
սար → plural	սարեր	plural	14	plural
մարդ → plural	մարդիկ	plural	14	plural,irregular
տղամարդ → plural	տղամարդիկ	plural	14	plural,irregular
կին → plural	կանայք	plural	14	plural,irregular
տիկին → plural	տիկնայք	plural	14	plural,irregular
պարոն → plural	պարոնայք	plural	14	plural,irregular
ռուս → plural	ռուսներ	plural	14	plural,irregular
դուռ → plural	դռներ	plural	14	plural,irregular
ձուկ → plural	ձկներ	plural	14	plural,irregular
մուկ → plural	մկներ	plural	14	plural,irregular
գառ → plural	գառներ	plural	14	plural,irregular
լեռ → plural	լեռներ	plural	14	plural,irregular
մատ → plural	մատներ	plural	14	plural,irregular
հարս → plural	հարսներ	plural	14	plural,irregular
ծունկ → plural	ծնկներ	plural	14	plural,irregular
թոռ → plural	թոռներ	plural	14	plural,irregular
նուռ → plural	նռներ	plural	14	plural,irregular
