prompt	answer	rule	lesson	tags
my	իմ	possessive-pronouns	3	possessive
your (one person)	քո	possessive-pronouns	3	possessive
his / her / its	նրա / իր	possessive-pronouns	3	possessive
our	մեր	possessive-pronouns	3	possessive
your (several / polite)	ձեր	possessive-pronouns	3	possessive
their	նրանց / իրենց	possessive-pronouns	3	possessive
my name	իմ անունը	possessive-pronouns	3	possessive,article
his surname	նրա ազգանունը	possessive-pronouns	3	possessive,article
my family	իմ ընտանիքը	possessive-pronouns	3	possessive,article
your sister	քո քույրը	possessive-pronouns	3	possessive,article
his/her friend	նրա / իր ընկերը	possessive-pronouns	3	possessive,article
our son	մեր որդին	possessive-pronouns	3	possessive,article
your (pl.) grandmother	ձեր տատիկը	possessive-pronouns	3	possessive,article
their brother	նրանց / իրենց եղբայրը	possessive-pronouns	3	possessive,article
Those are my books.	Դրանք իմ գրքերն են։	possessive-pronouns	16	possessive,article
his / her (spoken)	իրա	possessive-pronouns	16	possessive,spoken
their (spoken)	իրանց	possessive-pronouns	16	possessive,spoken
Which house is yours?	Ո՞ր տունն է քոնը։	possessive-pronouns	7	possessive,question
