prompt	answer	rule	lesson	tags
for (postposition)	համար	postpositions	41	postposition
about (postposition)	մասին	postpositions	41	postposition
with (postposition)	հետ	postpositions	41	postposition
on (postposition)	վրա	postpositions	41	postposition
under (postposition)	տակ	postpositions	41	postposition
near, at (postposition)	մոտ	postpositions	41	postposition
in, among (postposition)	մեջ	postpositions	41	postposition
around (postposition)	շուրջը	postpositions	41	postposition
between (postposition)	միջև	postpositions	41	postposition
above, upstairs	վերևում	postpositions	41	postposition
below, downstairs	ներքևում	postpositions	41	postposition
next to, beside	կողքին	postpositions	41	postposition
across from	դիմաց	postpositions	41	postposition
through	միջով	postpositions	41	postposition
for Anna	Աննայի համար	postpositions	41	postposition,genitive
on the table	սեղանի վրա	postpositions	41	postposition,genitive
through the park	այգու միջով	postpositions	41	postposition,genitive
with you (sg.)	քեզ հետ	postpositions	15	postposition,pronoun
for you (sg.)	քեզ համար	postpositions	15	postposition,pronoun
with us	մեզ հետ	postpositions	29	postposition,pronoun
with my friend	ընկերոջս հետ	postpositions	16	postposition,genitive
with my parents	իմ ծնողների հետ	postpositions	16	postposition,genitive
during the week	շաբաթվա ընթացքում	postpositions	36	postposition,time
before / after our class	մեր դասից առաջ / հետո	postpositions	19	postposition,ablative
without milk	առանց կաթի	postpositions	20	preposition,genitive
until the Armenian lesson	մինչև հայերենի դասը	postpositions	22	preposition
