prompt	answer	rule	lesson	tags
անել → I do / I am doing	Ես անում եմ	present-tense	5	present
անել → you (sg.) do	Դու անում ես	present-tense	5	present
անել → he/she does	Նա անում է	present-tense	5	present
անել → we do	Մենք անում ենք	present-tense	5	present
անել → you (pl.) do	Դուք անում եք	present-tense	5	present
անել → they do	Նրանք անում են	present-tense	5	present
անել → I don't do	Ես չեմ անում	present-tense	5	present,negation
անել → he/she doesn't do	Նա չի անում	present-tense	5	present,negation
անել → they don't do	Նրանք չեն անում	present-tense	5	present,negation
What are you doing?	Ի՞նչ ես անում։	present-tense	5	present,question
գալ → I am coming	Ես գալիս եմ	present-tense	6	present,irregular
գալ → he/she is coming	Նա գալիս է	present-tense	6	present,irregular
գալ → I am not coming	Ես չեմ գալիս	present-tense	6	present,irregular,negation
լալ → I am crying	Ես լալիս եմ	present-tense	6	present,irregular
տալ → I am giving	Ես տալիս եմ	present-tense	6	present,irregular
կարդալ → I am reading	Ես կարդում եմ	present-tense	4	present
խոսել → We always speak Armenian.	Մենք միշտ խոսում ենք հայերեն։	present-tense	5	present,adverb
խոսել → He never speaks Armenian.	Նա երբեք չի խոսում հայերեն։	present-tense	5	present,adverb,negation
always	միշտ	present-tense	5	adverb
usually	սովորաբար	present-tense	5	adverb
often	հաճախ	present-tense	5	adverb
never	երբեք	present-tense	5	adverb
sometimes	երբեմն / մեկ-մեկ	present-tense	5	adverb
