prompt	answer	rule	lesson	tags
who? (one person)	ո՞վ	question-words	6	question
who? (several)	ովքե՞ր	question-words	6	question
what? (one)	ի՞նչ	question-words	6	question
what? (several)	ինչե՞ր	question-words	6	question
when?	ե՞րբ	question-words	6	question
why? (formal)	ինչո՞ւ	question-words	6	question
why? (spoken)	ինչի՞	question-words	6	question,spoken
why? (very spoken)	խի՞	question-words	6	question,spoken
where? (location, где)	որտե՞ղ	question-words	6	question
where to? (куда)	ո՞ւր	question-words	6	question
which?	ո՞ր	question-words	6	question
how?	ինչպե՞ս / ո՞նց	question-words	6	question
what kind of?	ինչպիսի՞	question-words	6	question
how many? (countable)	քանի՞	question-words	6	question
how much? (uncountable)	ինչքա՞ն	question-words	6	question
whom? whose?	ո՞ւմ	question-words	6	question
Which one is your house?	Ո՞ր մեկն է քո տունը։	question-words	7	question,article
Whose book is this?	Ո՞ւմ գիրքն է սա։	question-words	7	question,article
how often?	ինչքա՞ն հաճախ	question-words	11	question
Where are you going?	Ո՞ւր ես գնում։	question-words	15	question
Where are you coming from?	Որտեղի՞ց ես գալիս։	question-words	15	question,ablative
how? by what means? (by bus, on foot…)	ինչո՞վ	question-words	16	question,instrumental
with whom?	ո՞ւմ հետ	question-words	16	question
What is the date today?	Այսօր ամսի քանի՞սն է։	question-words	9	question,dates
What time is it?	Ժամը քանի՞սն է։	question-words	22	question,time
At what time?	Ժամը քանիսի՞ն։	question-words	22	question,time
