prompt	answer	rule	lesson	tags
there is	կա	there-is	5	there-is
there are	կան	there-is	5	there-is
there is not	չկա	there-is	8	there-is,negation
there are not	չկան	there-is	8	there-is,negation
there was	կար	there-is	33	there-is,past
there were	կային	there-is	33	there-is,past
There are many guests in my living room.	Կան շատ հյուրեր իմ հյուրասենյակում։	there-is	5	there-is
There are red pencils on the shelf.	Դարակում կարմիր մատիտներ կան։	there-is	4	there-is
… because there are mountains here	… որովհետև այստեղ կան սարեր	there-is	14	there-is
What's new?	Ի՞նչ նորություն կա։	there-is	7	there-is,question
What's up?	Ի՞նչ կա չկա։	there-is	7	there-is,question
There is nothing under the bed.	Մահճակալի տակ ոչինչ չկա։	there-is	41	there-is,negation
There are many people near the house.	Տան մոտ շատ մարդիկ կան։	there-is	41	there-is
