prompt	answer	rule	lesson	tags
ունենալ → I have	Ես ունեմ	to-have-and-to-know	2	have
ունենալ → you (sg.) have	Դու ունես	to-have-and-to-know	2	have
ունենալ → he/she has	Նա ունի	to-have-and-to-know	2	have
ունենալ → we have	Մենք ունենք	to-have-and-to-know	2	have
ունենալ → you (pl.) have	Դուք ունեք	to-have-and-to-know	2	have
ունենալ → they have	Նրանք ունեն	to-have-and-to-know	2	have
ունենալ → I don't have	Ես չունեմ	to-have-and-to-know	2	have,negation
ունենալ → he/she doesn't have	Նա չունի	to-have-and-to-know	2	have,negation
գիտենալ → I know	Ես գիտեմ	to-have-and-to-know	2	know
գիտենալ → you (sg.) know	Դու գիտես	to-have-and-to-know	2	know
գիտենալ → he/she knows	Նա գիտի	to-have-and-to-know	2	know
գիտենալ → we know	Մենք գիտենք	to-have-and-to-know	2	know
գիտենալ → they know	Նրանք գիտեն	to-have-and-to-know	2	know
գիտենալ → I don't know	Ես չգիտեմ	to-have-and-to-know	2	know,negation
գիտենալ → he/she doesn't know	Նա չգիտի	to-have-and-to-know	2	know,negation
Do you know my name?	Գիտե՞ս իմ անունը։	to-have-and-to-know	2	know,question
I have two friends.	Ես ունեմ երկու ընկեր։	to-have-and-to-know	3	have
How many sisters do you have?	Քանի՞ քույր ունես։	to-have-and-to-know	7	have,question
No idea.	Գաղափար չունեմ։	to-have-and-to-know	35	have,phrase
