prompt	answer	rule	lesson	tags
to get bored	ձանձրանալ	verbs-anal	30	verb,anal
to promise	խոստանալ	verbs-anal	30	verb,anal
to be angry	բարկանալ	verbs-anal	30	verb,anal
to get sick	հիվանդանալ	verbs-anal	30	verb,anal
to get well, to recover	առողջանալ	verbs-anal	30	verb,anal
to steal	գողանալ	verbs-anal	30	verb,anal
to rise, to climb, to get on	բարձրանալ	verbs-anal	30	verb,anal
to be glad	ուրախանալ	verbs-anal	30	verb,anal
to be late	ուշանալ	verbs-anal	30	verb,anal
to be surprised	զարմանալ	verbs-anal	30	verb,anal
to have a rest, to calm down	հանգստանալ	verbs-anal	30	verb,anal
to come closer, to approach	մոտենալ	verbs-anal	30	verb,enal
to understand	հասկանալ	verbs-anal	24	verb,anal
to get acquainted	ծանոթանալ	verbs-anal	24	verb,anal
to get married	ամուսնանալ	verbs-anal	24	verb,anal
to know, to find out	իմանալ	verbs-anal	24	verb,anal
լավ → to get better	լավանալ	verbs-anal	15	verb,anal
վատ → to get worse	վատանալ	verbs-anal	15	verb,anal
մեծ → to grow	մեծանալ	verbs-anal	24	verb,anal
փոքր → to get smaller	փոքրանալ	verbs-anal	24	verb,anal
հասկանալ → Understand! (sg.)	հասկացի՛ր	verbs-anal	24	imperative,derivative
մոտենալ → Come closer! (sg.)	մոտեցի՛ր	verbs-anal	24	imperative,derivative
լավանալ → It's good that you are getting better.	Լավ ա, որ լավանում ես։	verbs-anal	15	present,spoken
