ճաշ	meal, lunch (lit. meal)
ճաշել	to have lunch
ճաշասենյակ	dining room
ճանապարհ	road, way
ճանապարհորդել	to travel
հաճելի	pleasant
հաճախ	often
ճամպրուկ	suitcase
օճառ	soap
սուրճ	coffee · Մենք սուրճ էինք խմում։ — We were drinking coffee.
սրճարան	café (pron. սըրճարան) · Սրճարան / Սրճարանից — to the café / from the café
ճիշտ	right, correct
կարճ	short
ճակատ	forehead
ճակատագիր	destiny, fate
զրո	zero
զուգարան	toilet (pron. զուքարան)
զգեստ	dress · Զգեստդ գեղեցիկ է, որտեղի՞ց ես գնել։ — Your dress is beautiful, where did you buy it?
զարթուցիչ	alarm clock
հազար	thousand
գազար	carrot
բազմոց	sofa
բազկաթոռ	armchair
զարմանալ	to be surprised
զգալ	to feel
երազ	dream
երազել	to dream
զանգ	bell
զանգել	to phone, to call · Երեկոյան կզանգեմ, կզրուցենք։ — I will call in the evening, we will talk.
զրուցել	to talk, to converse
ձու	egg
ձեթ	oil
ձուկ	fish (pl. ձկներ)
ձայն	voice
ձյուն	snow (spoken: Ձյուն գալիս ա) · Ձյուն գալիս է։ — It is snowing.
ձմեռ	winter · Ձմռանը — in winter
ձեռք	hand
ձեռնոց	glove · Գիտե՞ս որտեղ է իմ ձեռնոցը։ — Do you know where my glove is?
ձեռագիր	handwriting
ձմերուկ	watermelon
բարձր	high (pron. բարցր)
բարձ	pillow (pron. բարց)
դեղձ	peach
տանձ	pear
խնձոր	apple
սոված	hungry · Սոված եմ — I am hungry
կուշտ	full (not hungry) · Կուշտ եմ — I am full
հոգնած	tired (pron. հոքնած) · Հոգնած եմ — I am tired
ուրախ	glad · Ես ուրախ եմ։ — I am glad.
այո / հա	yes (formal / informal)
ոչ / չէ	no (formal / informal)
բայց	but
Բարև ձեզ	Hello!
Ողջույն	Hi!
Բարի լույս	Good morning!
Բարի օր	Good afternoon!
Բարի երեկո	Good evening!
Բարի գիշեր	Good night!
Բարի ճանապարհ	Have a good journey!
Բարի ախորժակ	Enjoy your meal! Bon appétit!
Անուշ / Անուշ լինի	Enjoy! (said about food)
Բարի գալուստ	Welcome!
Ցտեսություն	Goodbye! (pron. ցըտեսություն)
Հաջողություն / Հաջող	So long! Good luck! (formal alternative to goodbye; Հաջող is the short form)
Կհանդիպենք	See you soon! (lit. we will meet: հանդիպել — to meet, կ- — will)
Մինչ վաղը	See you tomorrow! (lit. until tomorrow)
Արի ծանոթանանք	Let's get acquainted
Ի՞նչ է քո անունը / Անունդ ի՞նչ է	What's your name?
Իմ անունը … է / Անունս … է	My name is …
Իսկ ի՞նչ է քո անունը	And what is your name?
Որտեղի՞ց ես / եք	Where are you from?
Ես … -ից եմ	I'm from … (-ից — from) · Ես Վրաստանից եմ։ — I am from Georgia.
Քանի՞ տարեկան ես	How old are you?
Ես քսանհինգ տարեկան եմ	I am twenty-five years old.
անուն	name
ազգանուն	surname
իսկ	and, but
տարեկան	years old
քսանհինգ	twenty-five
Վրաստան	Georgia
Ռուսաստան	Russia · Ես Ռուսաստանից եմ։ — I am from Russia.
ԱՄՆ	USA (Ամերիկայի Միացյալ Նահանգներ) · ԱՄՆ-ից եմ։ — I am from the USA.
