շատ շուտ	very soon; very early
արվեստ	art
արվեստագետ	artist
կարևոր	important
ուռել	to swell; to get high (опухать) (spoken)
ուռած	swollen; high (spoken)
ծխած	stoned (spoken; lit. smoked)
ճշմարտություն	truth · Ասա՛ ինձ ճշմարտությունը, սիրելիս — Tell me the truth, my dear
սիրելիս	my dear
բարեկիրթ	polite · Բարեկի՛րթ եղիր — Be polite
զգույշ	careful · Զգո՛ւյշ եղիր — Be careful
ուշադիր	attentive · Ուշադի՛ր եղիր — Be attentive
լավ եղիր	be well
քեզ լավ նայիր / ձեզ լավ նայեք	take care of yourself / of yourselves
դնել	to put
լալ / լացել	to cry
թողնել	to let, to leave
տեսնել	to see
առնել	to buy, to take
լվանալ	to wash
դառնալ	to become, to turn (imperative դարձի՛ր, pron. դարցիր)
լինել	to be
վեր կենալ	to get up
