Ձ ձ → sound	dz
Ճ ճ → sound	ch (plosive)
Զ զ → sound	z
Ղ ղ → sound	gh (like the French r)
Ո ո → sound	vo
Եվ և → reads as	yev
բարձր → pronunciation	բարցր
զուգարան → pronunciation	զուքարան
սրճարան → hidden ը	սըր-ճարան
Գ գ → sound	g
Ծ ծ → sound	ts (plosive)
Ֆ ֆ → sound	f
հոգնած → pronunciation	հոքնած
Ե ե → sound	ye
Խ խ → sound	kh
Հ հ → sound	h
եղբայր → pronunciation	եղպայր
գլխարկ → hidden ը	գըլ-խարկ
Դ դ → sound	d
Բ բ → sound	b
մարդ → pronunciation	մարթ
կարդալ → pronunciation	կարթալ
Ն ն → sound	n
Մ մ → sound	m
երբեք → pronunciation	երփեք
Յ յ → sound	y
օգնել → pronunciation	օքնել
անգամ → pronunciation	անքամ
