and / but (contrast, 'and what about')	իսկ
but	բայց
And what is your name?	Իսկ ի՞նչ է քո անունը։
and (everyday, joins words and clauses)	ու
Do you like to play football or tennis?	Դու սիրում ես ֆուտբո՞լ խաղալ, թե՞ թենիս։
He is going to the library, and you?	Նա գնում է գրադարան, իսկ դո՞ւ։
because	որովհետև
or (in statements)	կամ
that (Լավ ա, ___ լավանում ես)	որ
or (in questions)	թե՞
not … (but)	ոչ թե
that's why (поэтому)	դրա համար
then, after	հետո
so, that means	ուրեմն
if	եթե
too, also / (any) more (particle)	էլ
and (also written form; 'etc.' = ___ այլն)	և
