Monday	երկուշաբթի
Tuesday	երեքշաբթի
Wednesday	չորեքշաբթի
Thursday	հինգշաբթի
Friday	ուրբաթ
Saturday	շաբաթ
Sunday	կիրակի
What day is it today?	Ի՞նչ օր է այսօր։
January	հունվար
February	փետրվար
March	մարտ
April	ապրիլ
May	մայիս
June	հունիս
July	հուլիս
August	օգոստոս
September	սեպտեմբեր
October	հոկտեմբեր
November	նոյեմբեր
December	դեկտեմբեր
What is the date today?	Այսօր ամսի քանի՞սն է։
Today is the 8th of January.	Այսօր հունվարի ութն է։
On what date?	Ամսի քանիսի՞ն։
on the 8th of January	հունվարի ութին
this month	այս ամիս
the day before yesterday	երեկ չէ առաջին օրը
the day after tomorrow	վաղը չէ մյուս օրը
last week	անցյալ / անցած շաբաթ
next week	հաջորդ շաբաթ
