See you! (we will meet)	Կհանդիպենք։
զանգել → I will call in the evening	Երեկոյան կզանգեմ։
լինել → everything will be fine	ամեն ինչ լավ կլինի
վերադառնալ → you will come back	կվերադառնաս
ուտել → I will eat	կուտեմ
ուտել → you (sg.) will eat	կուտես
ուտել → he/she will eat	կուտի
ուտել → we will eat	կուտենք
ուտել → you (pl.) will eat	կուտեք
ուտել → they will eat	կուտեն
ուտել → I won't eat	չեմ ուտի
ուտել → he/she won't eat	չի ուտի
գնալ → I will go	կգնամ
գնալ → you (sg.) will go	կգնաս
գնալ → he/she will go	կգնա
գնալ → we will go	կգնանք
գնալ → they will go	կգնան
գնալ → I won't go	չեմ գնա
գնալ → they won't go	չեն գնա
երգել → I will sing	կերգեմ
սիրել → he/she will love	կսիրի
սիրել → we won't love	չենք սիրի
տալ → I will give (you the book tomorrow)	կտամ
գալ → I will come	կգամ
խմել → They won't drink with us.	Նրանք չեն խմի մեզ հետ։
անել → I will do	կանեմ
անել → I won't do	չեմ անի
անել → they will do	կանեն
