ուտել → (Why are you going?) To eat.	Ուտելու։
խաղալ → in order to play	խաղալու
գնալ → going to go (form)	գնալու
գնել → going to buy (form)	գնելու
It is going to rain.	Անձրև է գալու։
When are we going to have breakfast?	Ե՞րբ ենք նախաճաշելու։
կարդալ → I am going to read	Ես կարդալու եմ
կարդալ → you (sg.) are going to read	Դու կարդալու ես
կարդալ → he/she is going to read	Նա կարդալու է
կարդալ → we are going to read	Մենք կարդալու ենք
կարդալ → they are going to read	Նրանք կարդալու են
կարդալ → I am not going to read	Ես չեմ կարդալու
կարդալ → he/she is not going to read	Նա չի կարդալու
soon	շուտով
the day after tomorrow	վաղը չէ մյուս օրը
next week	հաջորդ շաբաթ
Everything is going to be fine.	Ամեն ինչ լավ է լինելու։
What are you going to do after our class?	Ի՞նչ ես անելու մեր դասից հետո։
