կարդալ → Read! (sg. / pl.)	Կարդա՛ / կարդացե՛ք
խաղալ → Play! (sg.)	խաղա՛
գրել → Write! (sg. / pl.)	գրի՛ր / գրե՛ք
նստել → Sit! (sg.)	նստի՛ր
փակել → Close! (sg.)	փակի՛ր
գրել → Don't write! (sg.)	մի՛ գրիր
կարդալ → Don't read! (pl.)	մի՛ կարդացեք
հասկանալ → Understand! (sg. / pl.)	հասկացի՛ր / հասկացե՛ք
ծանոթանալ → Get acquainted! (sg.)	ծանոթացի՛ր
իմանալ → Know! (sg.)	իմացի՛ր
ձանձրանալ → Don't get bored! (sg.)	մի՛ ձանձրացիր
մոտենալ → Come closer! (sg.)	մոտեցի՛ր
գալ → Come! (sg. / pl.)	Արի՛ / Եկե՛ք
տալ → Give! (sg. / pl.)	Տո՛ւր / Տվե՛ք
ուտել → Eat! (sg. / pl.)	Կե՛ր / Կերե՛ք
ասել → Say! (sg. / pl.)	Ասա՛ / Ասե՛ք
անել → Do! (sg. / pl.)	Արա՛ / Արե՛ք
լինել → Be! (sg. / pl.)	Եղի՛ր / Եղե՛ք
դնել → Put! (sg. / pl.)	Դի՛ր / Դրե՛ք
տեսնել → See! (sg.)	Տե՛ս
առնել → Buy! / Take! (sg.)	Ա՛ռ
բերել → Bring! (sg.)	Բե՛ր
լվանալ → Wash! (sg. / pl.)	Լվա՛ / Լվացե՛ք
վերադառնալ → Come back! (sg.)	Վերադարձի՛ր
վեր կենալ → Get up! (sg.)	Վե՛ր կաց
be careful (sg.)	Զգո՛ւյշ եղիր
take care of yourself	Քեզ լավ նայիր
հանգստանալ → Calm down! (sg.)	հանգստացի՛ր
բարկանալ → Don't be angry! (pl.)	մի՛ բարկացեք
խոստանալ → Promise! (sg.)	խոստացի՛ր
