Նա ուրախ ___ (she is not glad)	չէ / չի
no (formal)	ոչ
no (informal)	չէ
I don't have	չունեմ
I don't know	չգիտեմ
Don't play, it is very dark now.	Մի՛ խաղա, հիմա շատ մութ է։
Ես ___ գնում (I am not going)	չեմ
Նա ___ խոսում (he does not speak)	չի
there is not	չկա
never	երբեք
He never speaks Armenian.	Նա երբեք չի խոսում հայերեն։
I can't	չեմ կարող
I was not	չէի
nothing	ոչինչ / ոչ մի բան
I was doing nothing.	Ես ոչինչ չէի անում։
Don't read! (one person)	Մի՛ կարդա
Don't write! (several people)	Մի՛ գրեք
I won't eat	չեմ ուտի
I am not going to read	չեմ կարդալու
I don't have to go	չպիտի գնամ / պիտի չգնամ
nowhere	ոչ մի տեղ
nobody	ոչ ոք
