ընկեր → plural	ընկերներ
ծառ → plural	ծառեր
ծաղիկ → plural	ծաղիկներ
նկար → plural	նկարներ
հրաշք → plural	հրաշքներ
սիրտ → plural	սրտեր
միրգ → plural	մրգեր
տուն → plural	տներ
շուն → plural	շներ
երկիր → plural	երկրներ
դասագիրք → plural	դասագրքեր
սար → plural	սարեր
մարդ → plural	մարդիկ
տղամարդ → plural	տղամարդիկ
կին → plural	կանայք
տիկին → plural	տիկնայք
պարոն → plural	պարոնայք
ռուս → plural	ռուսներ
դուռ → plural	դռներ
ձուկ → plural	ձկներ
մուկ → plural	մկներ
գառ → plural	գառներ
լեռ → plural	լեռներ
մատ → plural	մատներ
հարս → plural	հարսներ
ծունկ → plural	ծնկներ
թոռ → plural	թոռներ
նուռ → plural	նռներ
գիրք → plural	գրքեր
