կարդալ → I am reading	Ես կարդում եմ
անել → I do / I am doing	Ես անում եմ
անել → you (sg.) do	Դու անում ես
անել → he/she does	Նա անում է
անել → we do	Մենք անում ենք
անել → you (pl.) do	Դուք անում եք
անել → they do	Նրանք անում են
անել → I don't do	Ես չեմ անում
անել → he/she doesn't do	Նա չի անում
անել → they don't do	Նրանք չեն անում
What are you doing?	Ի՞նչ ես անում։
խոսել → We always speak Armenian.	Մենք միշտ խոսում ենք հայերեն։
խոսել → He never speaks Armenian.	Նա երբեք չի խոսում հայերեն։
always	միշտ
usually	սովորաբար
often	հաճախ
never	երբեք
sometimes	երբեմն / մեկ-մեկ
գալ → I am coming	Ես գալիս եմ
գալ → he/she is coming	Նա գալիս է
գալ → I am not coming	Ես չեմ գալիս
լալ → I am crying	Ես լալիս եմ
տալ → I am giving	Ես տալիս եմ
