who? (one person)	ո՞վ
who? (several)	ովքե՞ր
what? (one)	ի՞նչ
what? (several)	ինչե՞ր
when?	ե՞րբ
why? (formal)	ինչո՞ւ
why? (spoken)	ինչի՞
why? (very spoken)	խի՞
where? (location, где)	որտե՞ղ
where to? (куда)	ո՞ւր
which?	ո՞ր
how?	ինչպե՞ս / ո՞նց
what kind of?	ինչպիսի՞
how many? (countable)	քանի՞
how much? (uncountable)	ինչքա՞ն
whom? whose?	ո՞ւմ
Which one is your house?	Ո՞ր մեկն է քո տունը։
Whose book is this?	Ո՞ւմ գիրքն է սա։
What is the date today?	Այսօր ամսի քանի՞սն է։
how often?	ինչքա՞ն հաճախ
Where are you going?	Ո՞ւր ես գնում։
Where are you coming from?	Որտեղի՞ց ես գալիս։
how? by what means? (by bus, on foot…)	ինչո՞վ
with whom?	ո՞ւմ հետ
What time is it?	Ժամը քանի՞սն է։
At what time?	Ժամը քանիսի՞ն։
