I am (ես ___)	եմ
you are (դու ___)	ես
he/she is (նա ___)	է
we are (մենք ___)	ենք
you (pl.) are (դուք ___)	եք
they are (նրանք ___)	են
I am not (ես ___)	չեմ
you are not (դու ___)	չես
he/she is not (նա ___)	չէ / չի
we are not (մենք ___)	չենք
you (pl.) are not (դուք ___)	չեք
they are not (նրանք ___)	չեն
I am glad	Ես ուրախ եմ
We are not glad	Մենք ուրախ չենք
I am hungry	Սոված եմ
I am full	Կուշտ եմ
I am tired	Հոգնած եմ
yes (formal / informal)	այո / հա
no (formal / informal)	ոչ / չէ
Are you Armenian? — No, I am Indian.	Դու հա՞յ ես։ — Չէ, ես հնդիկ եմ։
I am at home	Ես տանն եմ
he/she (emphatic pronoun, also spoken)	ինքը
they (spoken)	իրանք
