ունենալ → I have	Ես ունեմ
ունենալ → you (sg.) have	Դու ունես
ունենալ → he/she has	Նա ունի
ունենալ → we have	Մենք ունենք
ունենալ → you (pl.) have	Դուք ունեք
ունենալ → they have	Նրանք ունեն
ունենալ → I don't have	Ես չունեմ
ունենալ → he/she doesn't have	Նա չունի
գիտենալ → I know	Ես գիտեմ
գիտենալ → you (sg.) know	Դու գիտես
գիտենալ → he/she knows	Նա գիտի
գիտենալ → we know	Մենք գիտենք
գիտենալ → they know	Նրանք գիտեն
գիտենալ → I don't know	Ես չգիտեմ
գիտենալ → he/she doesn't know	Նա չգիտի
Do you know my name?	Գիտե՞ս իմ անունը։
I have two friends.	Ես ունեմ երկու ընկեր։
How many sisters do you have?	Քանի՞ քույր ունես։
No idea.	Գաղափար չունեմ։
