լավ → to get better	լավանալ
վատ → to get worse	վատանալ
լավանալ → It's good that you are getting better.	Լավ ա, որ լավանում ես։
to understand	հասկանալ
to get acquainted	ծանոթանալ
to get married	ամուսնանալ
to know, to find out	իմանալ
մեծ → to grow	մեծանալ
փոքր → to get smaller	փոքրանալ
հասկանալ → Understand! (sg.)	հասկացի՛ր
մոտենալ → Come closer! (sg.)	մոտեցի՛ր
to get bored	ձանձրանալ
to promise	խոստանալ
to be angry	բարկանալ
to get sick	հիվանդանալ
to get well, to recover	առողջանալ
to steal	գողանալ
to rise, to climb, to get on	բարձրանալ
to be glad	ուրախանալ
to be late	ուշանալ
to be surprised	զարմանալ
to have a rest, to calm down	հանգստանալ
to come closer, to approach	մոտենալ
