թույն	cool
պատրաստ	ready · Պատրա՞ստ ես։ — Are you ready?
ընտանիք	family
ընտանիքի անդամ	family member (pron. անթամ)
մայր / մայրիկ	mother
հայր / հայրիկ	father
քույր / քույրիկ	sister
եղբայր / ախպեր	brother (pron. եղպայր; ախպեր is spoken)
որդի	son (pron. որթի; gen. որդու)
դուստր	daughter (gen. դստեր)
տատ / տատիկ	grandmother
պապ / պապիկ	grandfather
թոռ / թոռնիկ	grandchild
զարմիկ / զարմուհի	cousin (male / female)
ընկեր	friend · Ես ունեմ երկու ընկեր։ — I have two friends.
աղջիկ	girl
տղա	boy
իմ	my · իմ անունը — my name
քո	your (singular) · քո քույրը — your sister
նրա / իր	his, her, its (for նա / ինքը; spoken իրա) · նրա ազգանունը — his surname
մեր	our · մեր որդին — our son
ձեր	your (plural, polite) · ձեր տատիկը — your grandmother
նրանց / իրենց	their (for նրանք / իրենք; spoken իրանց) · նրանց եղբայրը — their brother
ես	I
երկիր	country (pl. երկրներ) · Մեր երկիրը Իրանն է։ — Our country is Iran.
երկու	two
երեսուն	thirty
երեկ	yesterday · Ի՞նչ օր էր երեկ — What day was it yesterday?
երես	face
սեր	love (gen. սիրո)
կես	half · Ժամը մեկ անց կես է — It is half past one
տե՛ս	see! (imperative)
Կարեն	Karen (male name)
մատիտ	pencil · Սա ո՞ւմ մատիտն է։ Սա իմ մատիտն է։ — Whose pencil is this? This is my pencil.
մատ	finger (pl. մատներ) · Ես ունեմ տասը մատ։ — I have ten fingers.
գլուխ	head
գլխարկ	hat (pron. գըլխարկ)
խանութ	store
հեռախոս	phone · Դու շատ երկար ես խոսում հեռախոսով։ — You talk on the phone for a very long time.
խաղալ	to play · խաղալու — (in order) to play
խմել	to drink · Նրանք խմում են կաթով թեյ ու խոսում անգլերեն։ — They drink tea with milk and speak English.
խոսել	to speak · Ես խոսում եմ հայերեն։ — I speak Armenian.
խնդրել	to ask for
մութ	dark · Մի՛ խաղա, հիմա շատ մութ է։ — Don't play, it is very dark now.
հայ	Armenian (person) · Դու հա՞յ ես։ — Are you Armenian?
հույն	Greek (person)
հետ	with · քեզ հետ — with you
հնդիկ	Indian (person) · Չէ, ես հնդիկ եմ։ — No, I am Indian.
հարկ	floor (storey) · Ո՞ր հարկում է ապրում քո ընկերը — What floor does your friend live on?
հանել	to take off
հարգել	to respect
հավաքել	to collect, to gather
հավանել	to like
հավասար	equal
համալսարան	university · Աննան գնում է համալսարան։ — Anna goes to university.
