բարդ	complex, complicated (pron. բարթ)
քաղաք	city
գյուղ	village
հասցե	address
փողոց	street
շենք	building
բնակարան	apartment, flat
սենյակ	room
ննջասենյակ	bedroom
ննջել	to take a nap
հյուրասենյակ	living room
հյուր	guest
խոհանոց	kitchen
առաստաղ	ceiling
հատակ	floor (пол)
պատ	wall
պատուհան / լուսամուտ	window
միջանցք	corridor
բաղնիք	bathroom
դու	you (singular)
դա	that · Ի՞նչ է դա։ Դա լուսանկար է։ — What is that? That is a photograph.
դաս	lesson · Դասի / Դասից — to class / from class
դանակ	knife
դարակ	shelf · Դարակում կարմիր մատիտներ կան։ — There are red pencils on the shelf.
մարդ	man, person (pron. մարթ)
սարդ	spider · Սա սարդ է։ — This is a spider.
դար	century
դի՛ր	put it! (imperative)
դուրս	outside
կարդալ	to read (pron. կարթալ, կարթում) · Ես կարդում եմ։ — I read / I am reading.
բակ	yard
բանալի	key
բարեկամ	relative
բերան	mouth
եղբայր	brother
բարի	kind
բնական	natural
բարակ	thin
թաց	wet
բաց	open · բաց կանաչ — light green
բացել	to open · Խնդրում եմ, բացի՛ր դուռը։ — Please open the door.
բացատրել	to explain · Բացատրի՛ր, ո՞վ է այն կինը։ — Explain, who is that woman?
բերել	to bring
բոլոր	all
բառ	word
բառարան	dictionary · Գիտե՞ս որտեղ է իմ հայերեն-անգլերեն բառարանը։ — Do you know where my Armenian-English dictionary is?
