Ուրախ տոներ	Happy holidays
կա / չկա	there is / there is not
կան / չկան	there are / there are not
խելացի	smart
լուրջ	seriously
աշխատել	to work
ուտել	to eat · ուտելու — (in order) to eat
արթնանալ	to wake up
ուշանալ	to be late
պատմել	to tell (рассказывать)
ասել	to say (говорить)
մնալ	to stay
մրսել	to be / feel cold (быть замёрзшим)
տխրել	to be sad
ուրախանալ	to be glad, to rejoice (радоваться)
սիրել	to love
հիշել	to remember
մոռանալ	to forget
մեկ	1 — one
երեք	3 — three
չորս	4 — four
հինգ	5 — five
վեց	6 — six
յոթ	7 — seven
ութ	8 — eight
ինը	9 — nine
տասը / տասն	10 — ten
տասնմեկ	11 — eleven · Տաս + ն + մեկ = տասնմեկ — ten + n + one = eleven
տասներկու	12 — twelve
տասներեք	13 — thirteen
քսան	20 — twenty
քսանմեկ	21 — twenty-one
երեսունմեկ	31 — thirty-one
քառասուն	40 — forty
հիսուն	50 — fifty
վաթսուն	60 — sixty
յոթանասուն	70 — seventy
ութսուն	80 — eighty
իննսուն	90 — ninety
միլիոն	million
միլիարդ	billion
