Ինչքա՞ն հաճախ	How often?
ամիսը մի անգամ	once a month · Ամիսը մի անգամ գնում եմ Իլյայի տուն — Once a month I go to Ilya's house
շաբաթը մի անգամ	once a week
տարին մի անգամ	once a year
ամենալավ	best · Երևանում ո՞վ է քո ամենալավ ընկերը — Who is your best friend in Yerevan?
նախադասություն	sentence
աշխատասենյակ	study
պատշգամբ	balcony
լոգարան / բաղնիք	bathroom
կահույք	furniture
սեղան	table
աթոռ	chair
պահարան	wardrobe, closet
սառնարան	refrigerator
մահճակալ	bed
օրորոց	cradle, baby bed
լուսամփոփ	lamp, lampshade
գորգ	carpet
վարագույր	curtain
ժամացույց	clock
ծաղկաման	vase
լիքը	full (spoken) · Լիքը շաքար կա մեջը — There is a lot of sugar in it
դատարկ	empty
