ժամը տասին	at ten (o'clock)
մարզվել	to exercise, to work out
շուշուտ	fast, quickly (very spoken)
թե	or
վերջին	last · վերջինը — the last one
երջանիկ	happy · Ես ավելի երջանիկ եմ Հայաստանում, որովհետև այստեղ կան սարեր։ — I am happier in Armenia, because there are mountains here.
հաստատ	for sure, definitely
սար / լեռ	mountain (pl. լեռներ)
հանդիպել	to meet · Կարող եմ հանդիպել իմ ընկերներին շատ հաճախ։ — I can meet my friends very often.
շփվել	to hang out, to socialise
բոզ	whore (vulgar)
հայհոյանք	swear word, cursing (мат)
որ	that (conjunction)
կին	woman (pl. կանայք)
հրաշք	miracle, wonder (pl. հրաշքներ)
սիրտ	heart (pl. սրտեր)
շուն	dog (pl. շներ)
դասագիրք	textbook (pl. դասագրքեր)
տղամարդ	man (pl. տղամարդիկ)
տիկին	madam, lady, Mrs (pl. տիկնայք)
պարոն	sir, Mr (pl. պարոնայք)
գառ	lamb (pl. գառներ)
հարս	bride (pl. հարսներ)
ծունկ	knee (pl. ծնկներ)
թոռ	grandchild (pl. թոռներ)
նուռ	pomegranate (pl. նռներ)
ռուս	Russian (person) (pl. ռուսներ)
