ավելի շուտ	earlier
տանտեր	landlord (gen. տանտիրոջ)
միայն	only
Քանի՞ օրով	for how many days · Քանի՞ օրով ես գնում։ — For how many days are you going?
Քանի՞ օրից	in how many days · Քանի՞ օրից ես գնում։ — In how many days are you going?
Կորեա	Korea · Ես գնում եմ Կորեա երկու շաբաթով — I am going to Korea for two weeks
կորեական	Korean
սկզբում	first, at first · Սկզբում գնում եմ Վրաստան — First I am going to Georgia
թռիչք	flight
տևել	to last
Ոնց անցավ	How did it go?
ամպամած	cloudy
մի քանի	several, a few
դրա համար	that's why (поэтому)
շուտով	soon
համտեսել / համը տեսնել	to taste (lit. to see the taste)
խմիչք	drink
ալկոհոլային խմիչքներ	alcoholic drinks
ոչ ալկոհոլային խմիչքներ	non-alcoholic drinks
հաց ուտել	to eat (something), to have a meal (lit. to eat bread)
նախաճաշել	to have breakfast
ճաշել / լանչ անել	to have lunch
ընթրիք	dinner
ընթրել	to have dinner
Ե՞րբ ենք նախաճաշելու/ճաշելու/ընթրելու։	When are we going to have breakfast/lunch/dinner?
Ի՞նչ ենք ուտելու նախաճաշին/ճաշին/ընթրիքին։	What are we going to have for breakfast/lunch/dinner?
աղցան	salad (from աղ — salt: "to sprinkle salt")
ապուր	soup
պատրաստել	to cook, to prepare (formal) · Սուրճ պատրաստել — to make coffee
սարքել	to cook, to make (informal) · Ճաշ սարքել, սուրճ սարքել — to make a meal, to make coffee
փոխանցել	to pass · Փոխանցի՛ր աղը — Pass the salt
աղ	salt
սեղան դնել	to set the table (lit. to put the table)
սեղան հավաքել	to clear the table (собрать) (lit. to gather the table)
ամանները լվանալ	to wash the dishes
հաց	bread
պանիր	cheese
կանաչի	greens
կաթ	milk · կաթով / առանց կաթի — with milk / without milk
առանց	without
մածուն	yogurt (matsun)
Սուրճը դա՞ռը, թե՞ քաղցր։	Coffee with or without sugar? (lit. is the coffee bitter or sweet?)
դառը	bitter
ձվածեղ	omelette
խաշած ձու	boiled egg
բանջարեղեն	vegetables
