շաբաթվա համար	for the week
շիշ	bottle · Մի շիշ կարմիր գինի — A bottle of red wine
մեղր	honey
երբևէ	ever · Դու երբևէ եղե՞լ ես Մադրիդում։ — Have you ever been to Madrid?
եղել եմ	I have been (perfect of լինել) · Ես եղել եմ Մադրիդում — I have been to Madrid
շուշուտ արի	come quickly, hurry up
ուրեմն	so, that means
դեռ	still, yet · Դեռ կես ժամ ունենք — We still have half an hour
մինչև	until, before · մինչև հայերենի դասը — before the Armenian lesson
պարապել	to practise, to study · Արի միասին հայերենի դասը պարապենք — Let's practise the Armenian lesson together
կողք	side · Կողքս նստի՛ր — Sit next to me
Ժամը քանի՞սն է։	What time is it?
Ժամը քանիսի՞ն։	At what time?
ժամ	hour; o'clock · Ժամը մեկն է — It is one o'clock
կես ժամ	half an hour
քառորդ	quarter · Մեկն անց քառորդ է — It is a quarter past one
անց	past (of the hour) · Մեկն անց հինգ է — It is five past one (1:05)
րոպե	minute · Ուղիղ երեսուն րոպե — Exactly thirty minutes
ուղիղ	exactly (of time); straight · Գնա ուղիղ, հետո թեքվիր ձախ — Go straight, then turn left
