թանկ	expensive (дорогой, of price)
պատահել	to happen · Ամեն ինչ կարող է պատահել — Anything can happen
դավաճանել	to betray
խաբել	to deceive, to cheat · Մի խաբիր — Don't lie
հեռանալ	to leave, to go away
ներել	to forgive
կասկածել	to doubt, to suspect
հետևել	to follow, to observe
նվիրել	to give as a present
հավատալ	to believe · Հավատա՛ ինձ — Believe me
վստահ	sure, certain · վստահ լինել — to be sure
փող	money · Փող չունեմ — I have no money
ավտոմեքենա	car
խփել	to hit
կյանք	life
փոխվել	to change (oneself)
հաջողություն	good luck; success
