կորցնել	to lose
գործ	work, job; business
դրոշ	flag · Ես սիրում եմ Հայաստանի դրոշի գույները — I love the colours of the Armenian flag
Ի՞նչ գույն է սա։	What colour is this?
սև	black · սև գրիչ — black pen
սպիտակ	white (less frequently ճերմակ) · Սպիտակ տուն — white house
դեղին	yellow · փոքր դեղին աթոռ — small yellow chair
կանաչ	green · կանաչ սեղան — green table
շագանակագույն	brown (from շագանակ — chestnut)
դարչնագույն	brown, cinnamon-coloured (from դարչին — cinnamon)
վարդագույն	pink (from վարդ — rose)
ծիրանագույն	apricot-coloured (from ծիրան — apricot)
նարնջագույն	orange (from նարինջ — orange; less frequently from գազար — carrot) · նարնջագույն պատ — orange wall
մոխրագույն	grey (from մոխիր — ash) · մոխրագույն մազեր — grey hair
ոսկեգույն	gold, golden (from ոսկի — gold) · ոսկեգույն տետր — golden notebook
արծաթագույն	silver (from արծաթ — silver)
մանուշակագույն	violet (from մանուշակ — violet)
մուգ	dark (of a colour) · մուգ կապույտ — dark blue
անգույն	colourless
գունավոր	colourful
