you (pl.) — Բարև ___	ձեզ
հունվարի ութ → on the 8th of January	հունվարի ութին
me (Believe ___ !)	ինձ
ընկերներ → (meet) my friends	ընկերներին
աշխատանք → to work (where to?)	աշխատանքի
դաս → to class	դասի
հանդիպում → to a meeting	հանդիպման
you (sg.) — I will give ___ the book	քեզ
կեսօր → at noon	կեսօրին
ամպեր → (look at) the clouds	ամպերին
նախաճաշ → for breakfast	նախաճաշին
ժամը մեկ → at one o'clock	ժամը մեկին
Աննա → to Anna	Աննային
him / her — give ___ the money	նրան
us — drink with ___	մեզ
համերգ → to a concert (գնալ)	համերգի
գործընկերներ → (call) my colleagues	գործընկերներին
սեպտեմբեր → in September	սեպտեմբերին
