հեռախոս → on the phone	հեռախոսով
լեզու → Which language do you speak?	Ո՞ր լեզվով ես խոսում։
How are you getting there? (by what)	Ինչո՞վ ես գնում։
ոտք → on foot	ոտքով
մետրո → by metro	մետրոյով
տաքսի → by taxi	տաքսիով
ավտոբուս → by bus	ավտոբուսով
ինքնաթիռ → by plane	ինքնաթիռով
ավտոմեքենա → by car	ավտոմեքենայով
գնացք → by train	գնացքով
հեծանիվ → by bicycle	հեծանիվով
կաթ → with milk	կաթով
without milk	առանց կաթի
for two weeks (stay)	երկու շաբաթով
For how many days?	Քանի՞ օրով։
բրինձ → with rice	բրնձով
in a word (короче)	մի խոսքով
